agent,seed_index,seed,state_id,state,action_id,action,q_value
Epsilon-greedy Q-learning,12,135,2,green,2,blue,0.7175362760727495
Epsilon-greedy Q-learning,12,135,3,blue,0,red,-0.0102
Epsilon-greedy Q-learning,12,135,3,blue,1,green,0.6562850065188737
Epsilon-greedy Q-learning,12,135,3,blue,2,blue,-0.00771
Epsilon-greedy Q-learning,12,135,4,yellow,0,red,0.7186794652117495
Epsilon-greedy Q-learning,12,135,4,yellow,1,green,0.7754905439145816
Epsilon-greedy Q-learning,12,135,4,yellow,2,blue,0.9799999999999999
Epsilon-greedy Q-learning,12,135,5,magenta,0,red,0.3871024601355261
Epsilon-greedy Q-learning,12,135,5,magenta,1,green,0.7799999999999999
Epsilon-greedy Q-learning,12,135,5,magenta,2,blue,0.59021476147938
Epsilon-greedy Q-learning,12,135,6,cyan,0,red,0.1690986725869188
Epsilon-greedy Q-learning,12,135,6,cyan,1,green,0.0
Epsilon-greedy Q-learning,12,135,6,cyan,2,blue,0.7828261216557502
Epsilon-greedy Q-learning,12,135,7,white,0,red,0.0
Epsilon-greedy Q-learning,12,135,7,white,1,green,0.0
Epsilon-greedy Q-learning,12,135,7,white,2,blue,0.0
Epsilon-greedy Q-learning,13,136,0,black,0,red,0.8454499999999996
Epsilon-greedy Q-learning,13,136,0,black,1,green,0.7826382754949667
Epsilon-greedy Q-learning,13,136,0,black,2,blue,0.3839910339535779
Epsilon-greedy Q-learning,13,136,1,red,0,red,0.7518762629183896
Epsilon-greedy Q-learning,13,136,1,red,1,green,0.9109999999999997
Epsilon-greedy Q-learning,13,136,1,red,2,blue,0.4011450485136506
Epsilon-greedy Q-learning,13,136,2,green,0,red,0.8900717202536849
Epsilon-greedy Q-learning,13,136,2,green,1,green,0.5114616450308682
Epsilon-greedy Q-learning,13,136,2,green,2,blue,-0.0102
Epsilon-greedy Q-learning,13,136,3,blue,0,red,0.5692244854411881
Epsilon-greedy Q-learning,13,136,3,blue,1,green,0.015757639397309488
Epsilon-greedy Q-learning,13,136,3,blue,2,blue,0.019300356426749994
Epsilon-greedy Q-learning,13,136,4,yellow,0,red,0.7589736314933528
Epsilon-greedy Q-learning,13,136,4,yellow,1,green,0.737049627071784
Epsilon-greedy Q-learning,13,136,4,yellow,2,blue,0.9799999999999999
Epsilon-greedy Q-learning,13,136,5,magenta,0,red,0.0
Epsilon-greedy Q-learning,13,136,5,magenta,1,green,0.21741751175798174
Epsilon-greedy Q-learning,13,136,5,magenta,2,blue,0.7488625802145473
Epsilon-greedy Q-learning,13,136,6,cyan,0,red,0.031660954464120004
Epsilon-greedy Q-learning,13,136,6,cyan,1,green,-0.006
Epsilon-greedy Q-learning,13,136,6,cyan,2,blue,-0.013204496077500003
Epsilon-greedy Q-learning,13,136,7,white,0,red,0.0
Epsilon-greedy Q-learning,13,136,7,white,1,green,0.0
Epsilon-greedy Q-learning,13,136,7,white,2,blue,0.0
Epsilon-greedy Q-learning,14,137,0,black,0,red,0.6649499999999996
Epsilon-greedy Q-learning,14,137,0,black,1,green,0.6547213096936482
Epsilon-greedy Q-learning,14,137,0,black,2,blue,-0.002782215078062346
Epsilon-greedy Q-learning,14,137,1,red,0,red,0.6106002565859086
Epsilon-greedy Q-learning,14,137,1,red,1,green,0.706228557903763
Epsilon-greedy Q-learning,14,137,1,red,2,blue,0.7209999999999998
Epsilon-greedy Q-learning,14,137,2,green,0,red,0.6642603485304113
Epsilon-greedy Q-learning,14,137,2,green,1,green,-0.010331429999999999
Epsilon-greedy Q-learning,14,137,2,green,2,blue,0.004367784380992642
Epsilon-greedy Q-learning,14,137,3,blue,0,red,-0.0102
Epsilon-greedy Q-learning,14,137,3,blue,1,green,0.07025177444040642
Epsilon-greedy Q-learning,14,137,3,blue,2,blue,-0.009955822008519764
